category,name,description,basePrice,isVeg,isAvailable,sortOrder,taxRate
Soups,Tomato Soup,Classic creamy tomato soup,90,true,true,1,
Soups,Sweet Corn Soup,Sweet corn soup with vegetables,100,true,true,2,
Soups,Hot & Sour Soup,Spicy and tangy vegetable soup,110,true,true,3,
Soups,Chicken Clear Soup,Light chicken broth with vegetables,140,false,true,4,
Starters,Veg Spring Rolls,Crispy rolls with mixed vegetables,150,true,true,1,
Starters,Paneer Tikka,Marinated cottage cheese grilled in tandoor,220,true,true,2,
Starters,Chilli Paneer,Cottage cheese tossed in spicy chilli sauce,210,true,true,3,
Starters,Chicken 65,Deep fried spicy chicken bites,240,false,true,4,
Starters,Chicken Lollipop,Frenched chicken wings in spicy masala,260,false,true,5,
Starters,Fish Amritsari,Batter fried fish with Punjabi spices,280,false,true,6,
Tandoori,Tandoori Paneer Tikka,Cottage cheese cubes grilled in clay oven,240,true,true,1,
Tandoori,Tandoori Chicken (Half),Half chicken marinated and roasted in tandoor,320,false,true,2,
Tandoori,Chicken Tikka,Boneless chicken chunks grilled in tandoor,280,false,true,3,
Tandoori,Seekh Kebab,Minced mutton skewers grilled in tandoor,300,false,true,4,
Tandoori,Tandoori Mushroom,Marinated mushrooms grilled in tandoor,210,true,true,5,
Main Course,Paneer Butter Masala,Cottage cheese in a rich tomato gravy,260,true,true,1,
Main Course,Dal Makhani,Slow-cooked black lentils in butter and cream,220,true,true,2,
Main Course,Palak Paneer,Cottage cheese cubes in a spiced spinach gravy,250,true,true,3,
Main Course,Malai Kofta,Fried vegetable and paneer dumplings in creamy gravy,260,true,true,4,
Main Course,Chana Masala,Spiced chickpea curry,190,true,true,5,
Main Course,Butter Chicken,Tandoori chicken in a creamy tomato gravy,320,false,true,6,
Main Course,Chicken Curry,Home-style chicken curry,290,false,true,7,
Main Course,Mutton Rogan Josh,Kashmiri-style slow cooked mutton curry,380,false,true,8,
Main Course,Egg Curry,Boiled eggs simmered in onion tomato gravy,180,false,true,9,
Main Course,Fish Curry,Fish cooked in a tangy coconut gravy,320,false,true,10,
South Indian,Plain Dosa,Crispy rice and lentil crepe,110,true,true,1,
South Indian,Masala Dosa,Dosa filled with spiced potato masala,140,true,true,2,
South Indian,Onion Rava Dosa,Crispy semolina crepe with onions,160,true,true,3,
South Indian,Idli Sambar,Steamed rice cakes served with sambar,90,true,true,4,
South Indian,Medu Vada,Crispy fried lentil doughnuts,100,true,true,5,
South Indian,Uttapam,Thick savoury rice pancake with vegetables,130,true,true,6,
Chinese,Veg Hakka Noodles,Stir fried noodles with vegetables,180,true,true,1,
Chinese,Veg Fried Rice,Wok tossed rice with vegetables,170,true,true,2,
Chinese,Chicken Hakka Noodles,Stir fried noodles with chicken,220,false,true,3,
Chinese,Chicken Fried Rice,Wok tossed rice with chicken,210,false,true,4,
Chinese,Manchurian (Veg),Vegetable balls in a tangy Indo-Chinese sauce,190,true,true,5,
Rice & Biryani,Veg Biryani,Fragrant basmati rice cooked with mixed vegetables,220,true,true,1,
Rice & Biryani,Chicken Biryani,Fragrant basmati rice cooked with spiced chicken,280,false,true,2,
Rice & Biryani,Mutton Biryani,Fragrant basmati rice cooked with tender mutton,340,false,true,3,
Rice & Biryani,Egg Biryani,Fragrant basmati rice cooked with boiled eggs,220,false,true,4,
Rice & Biryani,Jeera Rice,Basmati rice tempered with cumin,140,true,true,5,
Rice & Biryani,Steamed Rice,Plain steamed basmati rice,110,true,true,6,
Breads,Tandoori Roti,Whole wheat bread baked in tandoor,30,true,true,1,
Breads,Butter Naan,Leavened bread with butter baked in tandoor,45,true,true,2,
Breads,Garlic Naan,Naan topped with garlic and coriander,55,true,true,3,
Breads,Laccha Paratha,Multi-layered whole wheat flatbread,50,true,true,4,
Breads,Cheese Naan,Naan stuffed with cheese,70,true,true,5,
Beverages,Masala Chai,Spiced Indian tea,40,true,true,1,
Beverages,Filter Coffee,South Indian filter coffee,50,true,true,2,
Beverages,Fresh Lime Soda,Lime juice with soda water,70,true,true,3,
Beverages,Mango Lassi,Sweet yogurt drink with mango,90,true,true,4,
Beverages,Masala Buttermilk,Spiced churned buttermilk,60,true,true,5,
Beverages,Cold Coffee,Chilled coffee with ice cream,120,true,true,6,
Desserts,Gulab Jamun,Sweet milk dumplings in sugar syrup,90,true,true,1,
Desserts,Rasmalai,Cottage cheese dumplings in sweetened milk,110,true,true,2,
Desserts,Gajar Ka Halwa,Carrot pudding with nuts and ghee,120,true,true,3,
Desserts,Kulfi,Traditional Indian ice cream,80,true,true,4,
Desserts,Ice Cream (2 scoops),"Vanilla, chocolate or strawberry",90,true,true,5,
